,Question,Context,Value,prompt
10,the value of Average age 40-49 years in Absa document in 2021?,"|
|Average age||61|60|60|58|
|40 – 49 years||2|3|3|4|
|50 – 59 years|=|3|3|3|5|
|60 – 69 years|=|8|8|8|5|
|70+ years|=|1|1|2|2|
|Executive committee| | | | | |
|Total number of exco members||14|10|8|11|
|Executive directors|=|2|2|2|3|
|Prescribed  
   0|
| |2021|Of which:| | |
| | |Male|Female|Total|Disabled male|Disabled female|%|
|Senior management|19|11|30|1|-|76.7|
|Middle management|248|408|656|1|6|86.6|
|Junior management|114|322|436|1|3|90.6|
|Non-management and non-permanent|7|19|26|-|-|84.6|
|Unemployed|116|89|205|8|32|97.  
   583|7.396|18.979|0.028|0.021|
|Junior management|1.508|1.465|2.973|0.025|0.013|
|Non-management and non-permanent|1.769|0.630|2.399|-|-|
|Total|16.720|11.137|27.857|0.116|0.034|

Absa Group Limited 2022 Environmental,",3.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Average age 40-49 years in Absa document in 2021?[/INST] [INST]Context: |
|Average age||61|60|60|58|
|40 – 49 years||2|3|3|4|
|50 – 59 years|=|3|3|3|5|
|60 – 69 years|=|8|8|8|5|
|70+ years|=|1|1|2|2|
|Executive committee| | | | | |
|Total number of exco members||14|10|8|11|
|Executive directors|=|2|2|2|3|
|Prescribed  
   0|
| |2021|Of which:| | |
| | |Male|Female|Total|Disabled male|Disabled female|%|
|Senior management|19|11|30|1|-|76.7|
|Middle management|248|408|656|1|6|86.6|
|Junior management|114|322|436|1|3|90.6|
|Non-management and non-permanent|7|19|26|-|-|84.6|
|Unemployed|116|89|205|8|32|97.  
   583|7.396|18.979|0.028|0.021|
|Junior management|1.508|1.465|2.973|0.025|0.013|
|Non-management and non-permanent|1.769|0.630|2.399|-|-|
|Total|16.720|11.137|27.857|0.116|0.034|

Absa Group Limited 2022 Environmental,[/INST]
[INST]The result value for the metric in 2022 is: 3.0[/INST]
"
11,the value of Average age 40-49 years in Absa document in 2022?,"|
|Average age||61|60|60|58|
|40 – 49 years||2|3|3|4|
|50 – 59 years|=|3|3|3|5|
|60 – 69 years|=|8|8|8|5|
|70+ years|=|1|1|2|2|
|Executive committee| | | | | |
|Total number of exco members||14|10|8|11|
|Executive directors|=|2|2|2|3|
|Prescribed  
   4|18.6| |
|11 – 20 years||31.3|31.8|30.3|30.0| |
|21 – 30 years||8.2|8.3|8.6|8.6| |
|31 – 40 years||4.4|4.3|4.2|3.8| |
|> 41 years|=|0.2|0.2|0.1|0.  
   0|
| |2021|Of which:| | |
| | |Male|Female|Total|Disabled male|Disabled female|%|
|Senior management|19|11|30|1|-|76.7|
|Middle management|248|408|656|1|6|86.6|
|Junior management|114|322|436|1|3|90.6|
|Non-management and non-permanent|7|19|26|-|-|84.6|
|Unemployed|116|89|205|8|32|97.",2.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Average age 40-49 years in Absa document in 2022?[/INST] [INST]Context: |
|Average age||61|60|60|58|
|40 – 49 years||2|3|3|4|
|50 – 59 years|=|3|3|3|5|
|60 – 69 years|=|8|8|8|5|
|70+ years|=|1|1|2|2|
|Executive committee| | | | | |
|Total number of exco members||14|10|8|11|
|Executive directors|=|2|2|2|3|
|Prescribed  
   4|18.6| |
|11 – 20 years||31.3|31.8|30.3|30.0| |
|21 – 30 years||8.2|8.3|8.6|8.6| |
|31 – 40 years||4.4|4.3|4.2|3.8| |
|> 41 years|=|0.2|0.2|0.1|0.  
   0|
| |2021|Of which:| | |
| | |Male|Female|Total|Disabled male|Disabled female|%|
|Senior management|19|11|30|1|-|76.7|
|Middle management|248|408|656|1|6|86.6|
|Junior management|114|322|436|1|3|90.6|
|Non-management and non-permanent|7|19|26|-|-|84.6|
|Unemployed|116|89|205|8|32|97.[/INST]
[INST]The result value for the metric in 2022 is: 2.0[/INST]
"
12,the value of Staff costs and benefits (Rbn) in Absa document in 2019?,"0 – 1.1|

## Social

|Additional labour stats|
|---|
|Staff costs and benefits (Rbn)|27 873|26 133|25 407|26 262|
|Annual salary increase – unionised staff (%)|8.0|5.8|4.1|7.0|
|Percentage of staff covered by an independent union or collective bargaining agreements|40.8|38.1|53.8|56.0|
|Retention of high-performing employees (%)|94.8|95.4|96.5|93.  
   88|0.60|

## Tax

Content not available

## Governance

Content not available

## Shareholders

Content not available
---
## Environment

|Indicator|Trend|2022|2021|2020|2019|Targets/Comments|
|---|---|---|---|---|---|---|
|Total procurement spend in South Africa (Rbn)||19.5|18.9|18.8|18.9| |
|Total procurement spend in Absa regional Operations (Rbn)||2.8|2.1|3.  
   affordable housing, literacy, customer satisfaction and digital|
| |Other external|Citizenship and literacy|
| |Talent development|Employee training|
|Tax| |Tax disclosures – type and per country, paid, collected|
|Governance| |Board, Exco, ethics and remuneration|
|Shareholders| |Top 10 and per geography|

## Absa Group Limited 2022 Environmental, Social and Governance Indicators
---
##",26262000000.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Staff costs and benefits (Rbn) in Absa document in 2019?[/INST] [INST]Context: 0 – 1.1|

## Social

|Additional labour stats|
|---|
|Staff costs and benefits (Rbn)|27 873|26 133|25 407|26 262|
|Annual salary increase – unionised staff (%)|8.0|5.8|4.1|7.0|
|Percentage of staff covered by an independent union or collective bargaining agreements|40.8|38.1|53.8|56.0|
|Retention of high-performing employees (%)|94.8|95.4|96.5|93.  
   88|0.60|

## Tax

Content not available

## Governance

Content not available

## Shareholders

Content not available
---
## Environment

|Indicator|Trend|2022|2021|2020|2019|Targets/Comments|
|---|---|---|---|---|---|---|
|Total procurement spend in South Africa (Rbn)||19.5|18.9|18.8|18.9| |
|Total procurement spend in Absa regional Operations (Rbn)||2.8|2.1|3.  
   affordable housing, literacy, customer satisfaction and digital|
| |Other external|Citizenship and literacy|
| |Talent development|Employee training|
|Tax| |Tax disclosures – type and per country, paid, collected|
|Governance| |Board, Exco, ethics and remuneration|
|Shareholders| |Top 10 and per geography|

## Absa Group Limited 2022 Environmental, Social and Governance Indicators
---
##[/INST]
[INST]The result value for the metric in 2022 is: 26262000000.0[/INST]
"
13,the value of Staff costs and benefits (Rbn) in Absa document in 2020?,"0 – 1.1|

## Social

|Additional labour stats|
|---|
|Staff costs and benefits (Rbn)|27 873|26 133|25 407|26 262|
|Annual salary increase – unionised staff (%)|8.0|5.8|4.1|7.0|
|Percentage of staff covered by an independent union or collective bargaining agreements|40.8|38.1|53.8|56.0|
|Retention of high-performing employees (%)|94.8|95.4|96.5|93.  
   88|0.60|

## Tax

Content not available

## Governance

Content not available

## Shareholders

Content not available
---
## Environment

|Indicator|Trend|2022|2021|2020|2019|Targets/Comments|
|---|---|---|---|---|---|---|
|Total procurement spend in South Africa (Rbn)||19.5|18.9|18.8|18.9| |
|Total procurement spend in Absa regional Operations (Rbn)||2.8|2.1|3.  
   affordable housing, literacy, customer satisfaction and digital|
| |Other external|Citizenship and literacy|
| |Talent development|Employee training|
|Tax| |Tax disclosures – type and per country, paid, collected|
|Governance| |Board, Exco, ethics and remuneration|
|Shareholders| |Top 10 and per geography|

## Absa Group Limited 2022 Environmental, Social and Governance Indicators
---
##",25407000000.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Staff costs and benefits (Rbn) in Absa document in 2020?[/INST] [INST]Context: 0 – 1.1|

## Social

|Additional labour stats|
|---|
|Staff costs and benefits (Rbn)|27 873|26 133|25 407|26 262|
|Annual salary increase – unionised staff (%)|8.0|5.8|4.1|7.0|
|Percentage of staff covered by an independent union or collective bargaining agreements|40.8|38.1|53.8|56.0|
|Retention of high-performing employees (%)|94.8|95.4|96.5|93.  
   88|0.60|

## Tax

Content not available

## Governance

Content not available

## Shareholders

Content not available
---
## Environment

|Indicator|Trend|2022|2021|2020|2019|Targets/Comments|
|---|---|---|---|---|---|---|
|Total procurement spend in South Africa (Rbn)||19.5|18.9|18.8|18.9| |
|Total procurement spend in Absa regional Operations (Rbn)||2.8|2.1|3.  
   affordable housing, literacy, customer satisfaction and digital|
| |Other external|Citizenship and literacy|
| |Talent development|Employee training|
|Tax| |Tax disclosures – type and per country, paid, collected|
|Governance| |Board, Exco, ethics and remuneration|
|Shareholders| |Top 10 and per geography|

## Absa Group Limited 2022 Environmental, Social and Governance Indicators
---
##[/INST]
[INST]The result value for the metric in 2022 is: 25407000000.0[/INST]
"
14,the value of Staff costs and benefits (Rbn) in Absa document in 2021?,"0 – 1.1|

## Social

|Additional labour stats|
|---|
|Staff costs and benefits (Rbn)|27 873|26 133|25 407|26 262|
|Annual salary increase – unionised staff (%)|8.0|5.8|4.1|7.0|
|Percentage of staff covered by an independent union or collective bargaining agreements|40.8|38.1|53.8|56.0|
|Retention of high-performing employees (%)|94.8|95.4|96.5|93.  
   88|0.60|

## Tax

Content not available

## Governance

Content not available

## Shareholders

Content not available
---
## Environment

|Indicator|Trend|2022|2021|2020|2019|Targets/Comments|
|---|---|---|---|---|---|---|
|Total procurement spend in South Africa (Rbn)||19.5|18.9|18.8|18.9| |
|Total procurement spend in Absa regional Operations (Rbn)||2.8|2.1|3.  
   affordable housing, literacy, customer satisfaction and digital|
| |Other external|Citizenship and literacy|
| |Talent development|Employee training|
|Tax| |Tax disclosures – type and per country, paid, collected|
|Governance| |Board, Exco, ethics and remuneration|
|Shareholders| |Top 10 and per geography|

## Absa Group Limited 2022 Environmental, Social and Governance Indicators
---
##",26133000000.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Staff costs and benefits (Rbn) in Absa document in 2021?[/INST] [INST]Context: 0 – 1.1|

## Social

|Additional labour stats|
|---|
|Staff costs and benefits (Rbn)|27 873|26 133|25 407|26 262|
|Annual salary increase – unionised staff (%)|8.0|5.8|4.1|7.0|
|Percentage of staff covered by an independent union or collective bargaining agreements|40.8|38.1|53.8|56.0|
|Retention of high-performing employees (%)|94.8|95.4|96.5|93.  
   88|0.60|

## Tax

Content not available

## Governance

Content not available

## Shareholders

Content not available
---
## Environment

|Indicator|Trend|2022|2021|2020|2019|Targets/Comments|
|---|---|---|---|---|---|---|
|Total procurement spend in South Africa (Rbn)||19.5|18.9|18.8|18.9| |
|Total procurement spend in Absa regional Operations (Rbn)||2.8|2.1|3.  
   affordable housing, literacy, customer satisfaction and digital|
| |Other external|Citizenship and literacy|
| |Talent development|Employee training|
|Tax| |Tax disclosures – type and per country, paid, collected|
|Governance| |Board, Exco, ethics and remuneration|
|Shareholders| |Top 10 and per geography|

## Absa Group Limited 2022 Environmental, Social and Governance Indicators
---
##[/INST]
[INST]The result value for the metric in 2022 is: 26133000000.0[/INST]
"
15,the value of Staff costs and benefits (Rbn) in Absa document in 2022?,"0 – 1.1|

## Social

|Additional labour stats|
|---|
|Staff costs and benefits (Rbn)|27 873|26 133|25 407|26 262|
|Annual salary increase – unionised staff (%)|8.0|5.8|4.1|7.0|
|Percentage of staff covered by an independent union or collective bargaining agreements|40.8|38.1|53.8|56.0|
|Retention of high-performing employees (%)|94.8|95.4|96.5|93.  
   88|0.60|

## Tax

Content not available

## Governance

Content not available

## Shareholders

Content not available
---
## Environment

|Indicator|Trend|2022|2021|2020|2019|Targets/Comments|
|---|---|---|---|---|---|---|
|Total procurement spend in South Africa (Rbn)||19.5|18.9|18.8|18.9| |
|Total procurement spend in Absa regional Operations (Rbn)||2.8|2.1|3.  
   908|3 094|

## Absa Group Limited 2022 Environmental, Social and Governance Indicators
---
## Environment

| |2022|2021|2020|2019|
|---|---|---|---|---|
|Training hours|Number of programmes utilised|Training hours|Number of programmes utilised|Training hours|Number of programmes utilised|Training hours|Number of programmes utilised|
|Face-to-face (workshops)|-|-|-|-|102 445.1|326|703 803.",27873000000.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Staff costs and benefits (Rbn) in Absa document in 2022?[/INST] [INST]Context: 0 – 1.1|

## Social

|Additional labour stats|
|---|
|Staff costs and benefits (Rbn)|27 873|26 133|25 407|26 262|
|Annual salary increase – unionised staff (%)|8.0|5.8|4.1|7.0|
|Percentage of staff covered by an independent union or collective bargaining agreements|40.8|38.1|53.8|56.0|
|Retention of high-performing employees (%)|94.8|95.4|96.5|93.  
   88|0.60|

## Tax

Content not available

## Governance

Content not available

## Shareholders

Content not available
---
## Environment

|Indicator|Trend|2022|2021|2020|2019|Targets/Comments|
|---|---|---|---|---|---|---|
|Total procurement spend in South Africa (Rbn)||19.5|18.9|18.8|18.9| |
|Total procurement spend in Absa regional Operations (Rbn)||2.8|2.1|3.  
   908|3 094|

## Absa Group Limited 2022 Environmental, Social and Governance Indicators
---
## Environment

| |2022|2021|2020|2019|
|---|---|---|---|---|
|Training hours|Number of programmes utilised|Training hours|Number of programmes utilised|Training hours|Number of programmes utilised|Training hours|Number of programmes utilised|
|Face-to-face (workshops)|-|-|-|-|102 445.1|326|703 803.[/INST]
[INST]The result value for the metric in 2022 is: 27873000000.0[/INST]
"
16,the value of Scope 1 in Absa document in 2019?,"Scope 1, 2 and 3 emissions – market-based|484 977|504 822|482 726|503 206|490 534|467 795|359 720|431 060|489 251|
|Non-Kyoto Protocol GHG emissions – Freon R22|18|0|0|0|0|0|0|0|0|
|Outside of Scope 1,  
   Total Scope 2 Emissions

Evaluation of the nature and extent of Tongaat Hulett’s adherence to the general principles of the AA1000 Assurance Standard (AA1000AS, 2018)

- Inclusivity
- Materiality
- Responsiveness
- Impact

Limitations and exclusions

Excluded from the scope of our work is any assurance of information relating to:

activities outside the defined assurance period;
material outside the scope of work;
financial disclosures; and
positional statements (expressions of opinion, belief, aim or future intention by Tongaat Hulett) and statements of future commitment.  
   product)|6 851|7 901|11 116|16 828|5 145|5 794|3 196|4 622|7 012|
|Total Scope 3 emissions|333 268|347 440|324 508|341 493|332 816|310 085|222 852|296 909|320 431|
|Total Scope 1,",20835.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Scope 1 in Absa document in 2019?[/INST] [INST]Context: Scope 1, 2 and 3 emissions – market-based|484 977|504 822|482 726|503 206|490 534|467 795|359 720|431 060|489 251|
|Non-Kyoto Protocol GHG emissions – Freon R22|18|0|0|0|0|0|0|0|0|
|Outside of Scope 1,  
   Total Scope 2 Emissions

Evaluation of the nature and extent of Tongaat Hulett’s adherence to the general principles of the AA1000 Assurance Standard (AA1000AS, 2018)

- Inclusivity
- Materiality
- Responsiveness
- Impact

Limitations and exclusions

Excluded from the scope of our work is any assurance of information relating to:

activities outside the defined assurance period;
material outside the scope of work;
financial disclosures; and
positional statements (expressions of opinion, belief, aim or future intention by Tongaat Hulett) and statements of future commitment.  
   product)|6 851|7 901|11 116|16 828|5 145|5 794|3 196|4 622|7 012|
|Total Scope 3 emissions|333 268|347 440|324 508|341 493|332 816|310 085|222 852|296 909|320 431|
|Total Scope 1,[/INST]
[INST]The result value for the metric in 2022 is: 20835.0[/INST]
"
17,the value of Scope 1 in Absa document in 2020?,"Total Scope 2 Emissions

Evaluation of the nature and extent of Tongaat Hulett’s adherence to the general principles of the AA1000 Assurance Standard (AA1000AS, 2018)

- Inclusivity
- Materiality
- Responsiveness
- Impact

Limitations and exclusions

Excluded from the scope of our work is any assurance of information relating to:

activities outside the defined assurance period;
material outside the scope of work;
financial disclosures; and
positional statements (expressions of opinion, belief, aim or future intention by Tongaat Hulett) and statements of future commitment.  
   Scope 1, 2 and 3 emissions – market-based|484 977|504 822|482 726|503 206|490 534|467 795|359 720|431 060|489 251|
|Non-Kyoto Protocol GHG emissions – Freon R22|18|0|0|0|0|0|0|0|0|
|Outside of Scope 1,  
   88|0.60|

## Tax

Content not available

## Governance

Content not available

## Shareholders

Content not available
---
## Environment

|Indicator|Trend|2022|2021|2020|2019|Targets/Comments|
|---|---|---|---|---|---|---|
|Total procurement spend in South Africa (Rbn)||19.5|18.9|18.8|18.9| |
|Total procurement spend in Absa regional Operations (Rbn)||2.8|2.1|3.",12258.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Scope 1 in Absa document in 2020?[/INST] [INST]Context: Total Scope 2 Emissions

Evaluation of the nature and extent of Tongaat Hulett’s adherence to the general principles of the AA1000 Assurance Standard (AA1000AS, 2018)

- Inclusivity
- Materiality
- Responsiveness
- Impact

Limitations and exclusions

Excluded from the scope of our work is any assurance of information relating to:

activities outside the defined assurance period;
material outside the scope of work;
financial disclosures; and
positional statements (expressions of opinion, belief, aim or future intention by Tongaat Hulett) and statements of future commitment.  
   Scope 1, 2 and 3 emissions – market-based|484 977|504 822|482 726|503 206|490 534|467 795|359 720|431 060|489 251|
|Non-Kyoto Protocol GHG emissions – Freon R22|18|0|0|0|0|0|0|0|0|
|Outside of Scope 1,  
   88|0.60|

## Tax

Content not available

## Governance

Content not available

## Shareholders

Content not available
---
## Environment

|Indicator|Trend|2022|2021|2020|2019|Targets/Comments|
|---|---|---|---|---|---|---|
|Total procurement spend in South Africa (Rbn)||19.5|18.9|18.8|18.9| |
|Total procurement spend in Absa regional Operations (Rbn)||2.8|2.1|3.[/INST]
[INST]The result value for the metric in 2022 is: 12258.0[/INST]
"
18,the value of Scope 1 in Absa document in 2021?,"Total Scope 2 Emissions

Evaluation of the nature and extent of Tongaat Hulett’s adherence to the general principles of the AA1000 Assurance Standard (AA1000AS, 2018)

- Inclusivity
- Materiality
- Responsiveness
- Impact

Limitations and exclusions

Excluded from the scope of our work is any assurance of information relating to:

activities outside the defined assurance period;
material outside the scope of work;
financial disclosures; and
positional statements (expressions of opinion, belief, aim or future intention by Tongaat Hulett) and statements of future commitment.  
   908|3 094|

## Absa Group Limited 2022 Environmental, Social and Governance Indicators
---
## Environment

| |2022|2021|2020|2019|
|---|---|---|---|---|
|Training hours|Number of programmes utilised|Training hours|Number of programmes utilised|Training hours|Number of programmes utilised|Training hours|Number of programmes utilised|
|Face-to-face (workshops)|-|-|-|-|102 445.1|326|703 803.  
   Scope 1, 2 and 3 emissions – market-based|484 977|504 822|482 726|503 206|490 534|467 795|359 720|431 060|489 251|
|Non-Kyoto Protocol GHG emissions – Freon R22|18|0|0|0|0|0|0|0|0|
|Outside of Scope 1,",12276.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Scope 1 in Absa document in 2021?[/INST] [INST]Context: Total Scope 2 Emissions

Evaluation of the nature and extent of Tongaat Hulett’s adherence to the general principles of the AA1000 Assurance Standard (AA1000AS, 2018)

- Inclusivity
- Materiality
- Responsiveness
- Impact

Limitations and exclusions

Excluded from the scope of our work is any assurance of information relating to:

activities outside the defined assurance period;
material outside the scope of work;
financial disclosures; and
positional statements (expressions of opinion, belief, aim or future intention by Tongaat Hulett) and statements of future commitment.  
   908|3 094|

## Absa Group Limited 2022 Environmental, Social and Governance Indicators
---
## Environment

| |2022|2021|2020|2019|
|---|---|---|---|---|
|Training hours|Number of programmes utilised|Training hours|Number of programmes utilised|Training hours|Number of programmes utilised|Training hours|Number of programmes utilised|
|Face-to-face (workshops)|-|-|-|-|102 445.1|326|703 803.  
   Scope 1, 2 and 3 emissions – market-based|484 977|504 822|482 726|503 206|490 534|467 795|359 720|431 060|489 251|
|Non-Kyoto Protocol GHG emissions – Freon R22|18|0|0|0|0|0|0|0|0|
|Outside of Scope 1,[/INST]
[INST]The result value for the metric in 2022 is: 12276.0[/INST]
"
19,the value of Scope 1 in Absa document in 2022?,"Scope 1, 2 and 3 emissions – market-based|484 977|504 822|482 726|503 206|490 534|467 795|359 720|431 060|489 251|
|Non-Kyoto Protocol GHG emissions – Freon R22|18|0|0|0|0|0|0|0|0|
|Outside of Scope 1,  
   Total Scope 2 Emissions

Evaluation of the nature and extent of Tongaat Hulett’s adherence to the general principles of the AA1000 Assurance Standard (AA1000AS, 2018)

- Inclusivity
- Materiality
- Responsiveness
- Impact

Limitations and exclusions

Excluded from the scope of our work is any assurance of information relating to:

activities outside the defined assurance period;
material outside the scope of work;
financial disclosures; and
positional statements (expressions of opinion, belief, aim or future intention by Tongaat Hulett) and statements of future commitment.  
   908|3 094|

## Absa Group Limited 2022 Environmental, Social and Governance Indicators
---
## Environment

| |2022|2021|2020|2019|
|---|---|---|---|---|
|Training hours|Number of programmes utilised|Training hours|Number of programmes utilised|Training hours|Number of programmes utilised|Training hours|Number of programmes utilised|
|Face-to-face (workshops)|-|-|-|-|102 445.1|326|703 803.",15885.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Scope 1 in Absa document in 2022?[/INST] [INST]Context: Scope 1, 2 and 3 emissions – market-based|484 977|504 822|482 726|503 206|490 534|467 795|359 720|431 060|489 251|
|Non-Kyoto Protocol GHG emissions – Freon R22|18|0|0|0|0|0|0|0|0|
|Outside of Scope 1,  
   Total Scope 2 Emissions

Evaluation of the nature and extent of Tongaat Hulett’s adherence to the general principles of the AA1000 Assurance Standard (AA1000AS, 2018)

- Inclusivity
- Materiality
- Responsiveness
- Impact

Limitations and exclusions

Excluded from the scope of our work is any assurance of information relating to:

activities outside the defined assurance period;
material outside the scope of work;
financial disclosures; and
positional statements (expressions of opinion, belief, aim or future intention by Tongaat Hulett) and statements of future commitment.  
   908|3 094|

## Absa Group Limited 2022 Environmental, Social and Governance Indicators
---
## Environment

| |2022|2021|2020|2019|
|---|---|---|---|---|
|Training hours|Number of programmes utilised|Training hours|Number of programmes utilised|Training hours|Number of programmes utilised|Training hours|Number of programmes utilised|
|Face-to-face (workshops)|-|-|-|-|102 445.1|326|703 803.[/INST]
[INST]The result value for the metric in 2022 is: 15885.0[/INST]
"
